"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment 2"
"03/04/2023 16:05:07:339 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"141","false","0.19","0.5","1","1","74","1"
"138","false","0.185","0.5","1","1","103","1"
"139","false","0.185","0.5","1","1","115","1"
"131","false","0.18","0.5","1","1","149","1"
"140","false","0.185","0.5","1","1","114","1"
"142","false","0.19","0.5","1","1","95","1"
"145","false","0.19","0.5","1","1","104","1"
"143","false","0.19","0.5","1","1","114","1"
"144","false","0.19","0.5","1","1","106","1"
"147","false","0.195","0.5","1","1","91","1"
"148","false","0.195","0.5","1","1","97","1"
"149","false","0.195","0.5","1","1","89","1"
"146","false","0.195","0.5","1","1","104","1"
"154","false","0.2","0.5","1","1","66","1"
"151","false","0.2","0.5","1","1","108","1"
"152","false","0.2","0.5","1","1","85","1"
"150","false","0.195","0.5","1","1","123","1"
"153","false","0.2","0.5","1","1","104","1"
"159","false","0.205","0.5","1","1","70","1"
"157","false","0.205","0.5","1","1","80","1"
"155","false","0.2","0.5","1","1","96","1"
"158","false","0.205","0.5","1","1","89","1"
"156","false","0.205","0.5","1","1","97","1"
"161","false","0.21","0.5","1","1","92","1"
"163","false","0.21","0.5","1","1","70","1"
"162","false","0.21","0.5","1","1","85","1"
"160","false","0.205","0.5","1","1","108","1"
"168","false","0.215","0.5","1","1","80","1"
"169","false","0.215","0.5","1","1","81","1"
"164","false","0.21","0.5","1","1","96","1"
"167","false","0.215","0.5","1","1","86","1"
"171","false","0.22","0.5","1","1","78","1"
"165","false","0.21","0.5","1","1","99","1"
"166","false","0.215","0.5","1","1","93","1"
"170","false","0.215","0.5","1","1","83","1"
"172","false","0.22","0.5","1","1","66","1"
"175","false","0.22","0.5","1","1","97","1"
"174","false","0.22","0.5","1","1","95","1"
"173","false","0.22","0.5","1","1","108","1"
"176","false","0.225","0.5","1","1","71","1"
"179","false","0.225","0.5","1","1","82","1"
"183","false","0.23","0.5","1","1","76","1"
"180","false","0.225","0.5","1","1","81","1"
"177","false","0.225","0.5","1","1","97","1"
"178","false","0.225","0.5","1","1","80","1"
