"BehaviorSpace results (NetLogo 6.3.0)"
"coordination_divisionoflabor.nlogo"
"experiment a"
"03/04/2023 16:35:35:088 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","19"
"[run number]","prob-outgroup-observation","norm1-share","prob-outgroup-interaction","init-norm1-groupA","surplus-benefit","init-norm1-groupB","[step]","freq-norm1-groupA","freq-norm1-groupB"
"85","0.16","0.7","0.9","0.6","7","0.4","200","0.9475","0.2925"
"84","0.16","0.7","0.9","0.6","7","0.4","200","0.9575","0.265"
"86","0.16","0.7","0.9","0.6","7","0.4","200","0.965","0.3025"
"87","0.16","0.7","0.9","0.6","7","0.4","200","0.97","0.3225"
"88","0.16","0.7","0.9","0.6","7","0.4","200","0.945","0.28"
"89","0.16","0.7","0.9","0.6","7","0.4","200","0.99","0.22"
"90","0.16","0.7","0.9","0.6","7","0.4","200","0.97","0.315"
"91","0.18","0.7","0.9","0.6","7","0.4","200","0.95","0.3525"
"92","0.18","0.7","0.9","0.6","7","0.4","200","0.965","0.3225"
"93","0.18","0.7","0.9","0.6","7","0.4","200","0.955","0.3075"
"94","0.18","0.7","0.9","0.6","7","0.4","200","0.9575","0.29"
"95","0.18","0.7","0.9","0.6","7","0.4","200","0.965","0.335"
"96","0.18","0.7","0.9","0.6","7","0.4","200","0.945","0.3025"
"97","0.18","0.7","0.9","0.6","7","0.4","200","0.94","0.2825"
"98","0.18","0.7","0.9","0.6","7","0.4","200","0.95","0.265"
"99","0.18","0.7","0.9","0.6","7","0.4","200","0.9175","0.2925"
"100","0.18","0.7","0.9","0.6","7","0.4","200","0.9575","0.3125"
"102","0.2","0.7","0.9","0.6","7","0.4","200","0.9575","0.33"
"101","0.2","0.7","0.9","0.6","7","0.4","200","0.96","0.3525"
"104","0.2","0.7","0.9","0.6","7","0.4","200","0.955","0.335"
"103","0.2","0.7","0.9","0.6","7","0.4","200","0.9525","0.3175"
"106","0.2","0.7","0.9","0.6","7","0.4","200","0.9475","0.3725"
"105","0.2","0.7","0.9","0.6","7","0.4","200","0.945","0.3425"
"107","0.2","0.7","0.9","0.6","7","0.4","200","0.945","0.38"
"109","0.2","0.7","0.9","0.6","7","0.4","200","0.9125","0.4125"
"108","0.2","0.7","0.9","0.6","7","0.4","200","0.945","0.3375"
"110","0.2","0.7","0.9","0.6","7","0.4","200","0.9325","0.345"
"111","0.22","0.7","0.9","0.6","7","0.4","200","0.9625","0.3675"
"112","0.22","0.7","0.9","0.6","7","0.4","200","0.955","0.44"
"113","0.22","0.7","0.9","0.6","7","0.4","200","0.9175","0.4075"
"115","0.22","0.7","0.9","0.6","7","0.4","200","0.9575","0.4"
"116","0.22","0.7","0.9","0.6","7","0.4","200","0.93","0.4175"
"114","0.22","0.7","0.9","0.6","7","0.4","200","0.92","0.375"
"117","0.22","0.7","0.9","0.6","7","0.4","200","0.92","0.31"
"118","0.22","0.7","0.9","0.6","7","0.4","200","0.9425","0.4175"
"120","0.22","0.7","0.9","0.6","7","0.4","200","0.9375","0.4075"
"119","0.22","0.7","0.9","0.6","7","0.4","200","0.9425","0.37"
