"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment"
"03/04/2023 15:34:14:152 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"140","true","0.385","0.5","1","1","20","1"
"139","true","0.385","0.5","1","1","23","1"
"137","true","0.385","0.5","1","1","23","1"
"142","true","0.39","0.5","1","1","17","1"
"141","true","0.39","0.5","1","1","20","1"
"143","true","0.39","0.5","1","1","16","1"
"129","true","0.375","0.5","1","1","38","0"
"144","true","0.39","0.5","1","1","19","1"
"145","true","0.39","0.5","1","1","19","1"
"148","true","0.395","0.5","1","1","16","1"
"147","true","0.395","0.5","1","1","20","1"
"146","true","0.395","0.5","1","1","23","1"
"151","true","0.4","0.5","1","1","17","1"
"154","true","0.4","0.5","1","1","17","1"
"152","true","0.4","0.5","1","1","22","1"
"153","true","0.4","0.5","1","1","18","1"
"149","true","0.395","0.5","1","1","25","1"
"155","true","0.4","0.5","1","1","19","1"
"150","true","0.395","0.5","1","1","35","1"
