"BehaviorSpace results (NetLogo 6.3.0)"
"4-random-walk.nlogo"
"experiment 1"
"02/04/2023 16:53:58:666 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","turning-angle","[step]","distance-from-center"
"10","0","1000","99.99999999999832"
"4","0","1000","99.99999999999872"
"9","0","1000","99.99999999999895"
"7","0","1000","100.0000000000003"
"5","0","1000","99.99999999999928"
"12","0","1000","100.0000000000003"
"6","0","1000","100.00000000000038"
"13","0","1000","100.0000000000009"
"14","0","1000","99.999999999999"
"15","0","1000","100.00000000000006"
"16","0","1000","100.00000000000102"
"17","0","1000","100.00000000000097"
"18","0","1000","100.00000000000108"
"20","0","1000","100.00000000000108"
"22","0","1000","99.99999999999869"
"21","0","1000","100.00000000000182"
"11","0","1000","99.99999999999972"
"19","0","1000","99.99999999999923"
"1","0","1000","99.99999999999928"
"24","0","1000","100.00000000000105"
"27","0","1000","99.9999999999991"
"26","0","1000","99.99999999999912"
"28","0","1000","100.00000000000216"
"25","0","1000","100.00000000000017"
"3","0","1000","100.00000000000115"
"29","0","1000","99.99999999999974"
"8","0","1000","100.00000000000006"
"30","0","1000","100.000000000001"
"2","0","1000","100.00000000000087"
"34","0","1000","99.9999999999986"
"33","0","1000","99.99999999999912"
"31","0","1000","99.99999999999972"
"38","0","1000","99.99999999999933"
"40","0","1000","99.99999999999909"
"35","0","1000","99.99999999999909"
"23","0","1000","99.99999999999974"
"32","0","1000","100.00000000000186"
"42","0","1000","100.00000000000102"
"46","0","1000","100.00000000000115"
"45","0","1000","100.0000000000009"
"47","0","1000","99.99999999999912"
"36","0","1000","99.99999999999923"
"43","0","1000","99.99999999999827"
"51","0","1000","100.00000000000115"
"50","0","1000","99.99999999999933"
"52","0","1000","100.00000000000031"
"53","0","1000","100.00000000000006"
"44","0","1000","99.99999999999763"
"55","0","1000","99.99999999999986"
"39","0","1000","100.00000000000006"
"37","0","1000","100.00000000000006"
"48","0","1000","99.99999999999827"
"41","0","1000","100.00000000000061"
"49","0","1000","100.00000000000061"
"56","0","1000","99.99999999999912"
"57","0","1000","100.00000000000017"
"54","0","1000","99.99999999999928"
"61","0","1000","100.0000000000007"
"59","0","1000","100.00000000000034"
"67","0","1000","100.0000000000011"
"63","0","1000","100.00000000000077"
"68","0","1000","99.99999999999923"
"70","0","1000","100.000000000001"
"64","0","1000","100.0000000000018"
"65","0","1000","99.9999999999976"
"71","0","1000","100.0000000000002"
"66","0","1000","100.00000000000097"
"72","0","1000","100.0000000000011"
"69","0","1000","100.0000000000011"
"74","0","1000","99.99999999999909"
"58","0","1000","99.99999999999923"
"78","0","1000","100.00000000000006"
"80","0","1000","100.00000000000104"
