"BehaviorSpace results (NetLogo 6.3.0)"
"1-contagion SIR.nlogo"
"contagion batch 1"
"02/13/2023 21:12:42:603 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","spontaneous-infect","transmissibility","recovery-rate","init-infected","speed","prop-safe","turning-angle","remove-recovered?","[step]","maximum-infection","maximum-infection-rate"
"79","200","0","0.1","0.01","1","1","0.4","360","true","1034","43","0.215"
"75","200","0","0.1","0.01","1","1","0.3","360","true","957","51","0.255"
"96","200","0","0.1","0.01","1","1","0.8","360","true","46","1","0.005"
"94","200","0","0.1","0.01","1","1","0.7","360","true","136","2","0.01"
"85","200","0","0.1","0.01","1","1","0.5","360","true","1173","42","0.21"
"77","200","0","0.1","0.01","1","1","0.4","360","true","1076","27","0.135"
"102","200","0","0.1","0.01","1","1","0.9","360","true","21","1","0.005"
"101","200","0","0.1","0.01","1","1","0.9","360","true","56","1","0.005"
"98","200","0","0.1","0.01","1","1","0.8","360","true","203","2","0.01"
"105","200","0","0.1","0.01","1","1","0.9","360","true","16","1","0.005"
"88","200","0","0.1","0.01","1","1","0.6","360","true","1073","31","0.155"
"90","200","0","0.1","0.01","1","1","0.6","360","true","928","35","0.175"
"91","200","0","0.1","0.01","1","1","0.7","360","true","742","23","0.115"
"92","200","0","0.1","0.01","1","1","0.7","360","true","426","11","0.055"
"108","200","0","0.1","0.01","1","1","1","360","true","16","1","0.005"
"99","200","0","0.1","0.01","1","1","0.8","360","true","315","3","0.015"
"89","200","0","0.1","0.01","1","1","0.6","360","true","837","9","0.045"
"110","200","0","0.1","0.01","1","1","1","360","true","59","2","0.01"
"103","200","0","0.1","0.01","1","1","0.9","360","true","212","2","0.01"
"109","200","0","0.1","0.01","1","1","1","360","true","173","2","0.01"
"106","200","0","0.1","0.01","1","1","1","360","true","215","2","0.01"
"83","200","0","0.1","0.01","1","1","0.5","360","true","1181","25","0.125"
"104","200","0","0.1","0.01","1","1","0.9","360","true","337","2","0.01"
"119","500","0","0.1","0.01","1","1","0.1","360","true","9","1","0.002"
"115","500","0","0.1","0.01","1","1","0","360","true","32","1","0.002"
"112","500","0","0.1","0.01","1","1","0","360","true","679","314","0.628"
"107","200","0","0.1","0.01","1","1","1","360","true","762","6","0.03"
"97","200","0","0.1","0.01","1","1","0.8","360","true","994","7","0.035"
"113","500","0","0.1","0.01","1","1","0","360","true","659","320","0.64"
"100","200","0","0.1","0.01","1","1","0.8","360","true","1060","9","0.045"
"111","500","0","0.1","0.01","1","1","0","360","true","843","349","0.698"
"114","500","0","0.1","0.01","1","1","0","360","true","807","327","0.654"
"128","500","0","0.1","0.01","1","1","0.3","360","true","9","1","0.002"
"117","500","0","0.1","0.01","1","1","0.1","360","true","663","301","0.602"
"116","500","0","0.1","0.01","1","1","0.1","360","true","1098","294","0.588"
"118","500","0","0.1","0.01","1","1","0.1","360","true","846","299","0.598"
"120","500","0","0.1","0.01","1","1","0.1","360","true","1145","260","0.52"
"121","500","0","0.1","0.01","1","1","0.2","360","true","760","244","0.488"
"122","500","0","0.1","0.01","1","1","0.2","360","true","712","301","0.602"
"123","500","0","0.1","0.01","1","1","0.2","360","true","709","279","0.558"
"124","500","0","0.1","0.01","1","1","0.2","360","true","924","256","0.512"
"137","500","0","0.1","0.01","1","1","0.5","360","true","5","1","0.002"
"125","500","0","0.1","0.01","1","1","0.2","360","true","974","276","0.552"
"127","500","0","0.1","0.01","1","1","0.3","360","true","807","251","0.502"
"126","500","0","0.1","0.01","1","1","0.3","360","true","885","264","0.528"
"129","500","0","0.1","0.01","1","1","0.3","360","true","693","237","0.474"
"130","500","0","0.1","0.01","1","1","0.3","360","true","716","235","0.47"
"143","500","0","0.1","0.01","1","1","0.6","360","true","2","1","0.002"
"133","500","0","0.1","0.01","1","1","0.4","360","true","805","187","0.374"
"131","500","0","0.1","0.01","1","1","0.4","360","true","715","188","0.376"
"135","500","0","0.1","0.01","1","1","0.4","360","true","718","206","0.412"
"132","500","0","0.1","0.01","1","1","0.4","360","true","732","211","0.422"
"147","500","0","0.1","0.01","1","1","0.7","360","true","9","1","0.002"
"134","500","0","0.1","0.01","1","1","0.4","360","true","665","199","0.398"
"139","500","0","0.1","0.01","1","1","0.5","360","true","685","186","0.372"
"151","500","0","0.1","0.01","1","1","0.8","360","true","14","1","0.002"
"136","500","0","0.1","0.01","1","1","0.5","360","true","1024","200","0.4"
"152","500","0","0.1","0.01","1","1","0.8","360","true","23","1","0.002"
"153","500","0","0.1","0.01","1","1","0.8","360","true","134","2","0.004"
"138","500","0","0.1","0.01","1","1","0.5","360","true","1130","173","0.346"
"141","500","0","0.1","0.01","1","1","0.6","360","true","781","147","0.294"
"140","500","0","0.1","0.01","1","1","0.5","360","true","959","162","0.324"
"156","500","0","0.1","0.01","1","1","0.9","360","true","32","1","0.002"
"159","500","0","0.1","0.01","1","1","0.9","360","true","1","0","0"
"160","500","0","0.1","0.01","1","1","0.9","360","true","81","3","0.006"
"158","500","0","0.1","0.01","1","1","0.9","360","true","102","4","0.008"
"161","500","0","0.1","0.01","1","1","1","360","true","52","1","0.002"
"145","500","0","0.1","0.01","1","1","0.6","360","true","914","131","0.262"
"149","500","0","0.1","0.01","1","1","0.7","360","true","911","127","0.254"
"142","500","0","0.1","0.01","1","1","0.6","360","true","994","110","0.22"
"162","500","0","0.1","0.01","1","1","1","360","true","191","2","0.004"
"146","500","0","0.1","0.01","1","1","0.7","360","true","1158","108","0.216"
"164","500","0","0.1","0.01","1","1","1","360","true","215","3","0.006"
"154","500","0","0.1","0.01","1","1","0.8","360","true","856","87","0.174"
"148","500","0","0.1","0.01","1","1","0.7","360","true","1139","99","0.198"
"165","500","0","0.1","0.01","1","1","1","360","true","220","3","0.006"
"144","500","0","0.1","0.01","1","1","0.6","360","true","1278","139","0.278"
"163","500","0","0.1","0.01","1","1","1","360","true","330","3","0.006"
"150","500","0","0.1","0.01","1","1","0.7","360","true","1186","124","0.248"
"155","500","0","0.1","0.01","1","1","0.8","360","true","1185","86","0.172"
"157","500","0","0.1","0.01","1","1","0.9","360","true","1370","47","0.094"
