"BehaviorSpace results (NetLogo 6.3.0)"
"3-zombies!.nlogo"
"zombie batch"
"02/13/2023 22:33:56:765 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","spontaneous-infect","transmissibility","init-infected","zombie-speed","speed","zombie-death-rate","turning-angle","[step]","dead-zombies"
"96","300","0","0.2","3","0.25","0.6","0.1","60","28","15"
"104","300","0","0.2","3","0.25","0.6","0.2","60","8","4"
"98","300","0","0.2","3","0.25","0.6","0.1","60","33","13"
"6","300","0","0.2","3","0.1","0.6","0.1","60","144","43"
"105","300","0","0.2","3","0.25","0.6","0.2","60","15","9"
"108","300","0","0.2","3","0.25","0.6","0.2","60","11","7"
"109","300","0","0.2","3","0.25","0.6","0.2","60","12","3"
"110","300","0","0.2","3","0.25","0.6","0.2","60","11","6"
"103","300","0","0.2","3","0.25","0.6","0.2","60","19","9"
"111","300","0","0.2","3","0.25","0.6","0.3","60","5","4"
"94","300","0","0.2","3","0.25","0.6","0.1","60","49","39"
"106","300","0","0.2","3","0.25","0.6","0.2","60","19","8"
"114","300","0","0.2","3","0.25","0.6","0.3","60","7","3"
"115","300","0","0.2","3","0.25","0.6","0.3","60","3","3"
"107","300","0","0.2","3","0.25","0.6","0.2","60","23","10"
"120","300","0","0.2","3","0.25","0.6","0.3","60","3","3"
"119","300","0","0.2","3","0.25","0.6","0.3","60","8","7"
"121","300","0","0.2","3","0.25","0.6","0.4","60","4","4"
"116","300","0","0.2","3","0.25","0.6","0.3","60","13","6"
"122","300","0","0.2","3","0.25","0.6","0.4","60","3","3"
"97","300","0","0.2","3","0.25","0.6","0.1","60","72","37"
"113","300","0","0.2","3","0.25","0.6","0.3","60","21","10"
"117","300","0","0.2","3","0.25","0.6","0.3","60","13","5"
"126","300","0","0.2","3","0.25","0.6","0.4","60","1","4"
"127","300","0","0.2","3","0.25","0.6","0.4","60","2","4"
"125","300","0","0.2","3","0.25","0.6","0.4","60","4","5"
"129","300","0","0.2","3","0.25","0.6","0.4","60","1","4"
"123","300","0","0.2","3","0.25","0.6","0.4","60","5","6"
"118","300","0","0.2","3","0.25","0.6","0.3","60","15","5"
"128","300","0","0.2","3","0.25","0.6","0.4","60","3","4"
"134","300","0","0.2","3","0.25","0.6","0.5","60","2","3"
"112","300","0","0.2","3","0.25","0.6","0.3","60","18","10"
"124","300","0","0.2","3","0.25","0.6","0.4","60","7","3"
"130","300","0","0.2","3","0.25","0.6","0.4","60","3","4"
"132","300","0","0.2","3","0.25","0.6","0.5","60","3","4"
"136","300","0","0.2","3","0.25","0.6","0.5","60","3","3"
"133","300","0","0.2","3","0.25","0.6","0.5","60","4","6"
"137","300","0","0.2","3","0.25","0.6","0.5","60","3","6"
"139","300","0","0.2","3","0.25","0.6","0.5","60","2","3"
"141","300","0","0.2","3","0.25","0.6","0.6","60","2","3"
"131","300","0","0.2","3","0.25","0.6","0.5","60","5","3"
"145","300","0","0.2","3","0.25","0.6","0.6","60","1","4"
"146","300","0","0.2","3","0.25","0.6","0.6","60","2","3"
"142","300","0","0.2","3","0.25","0.6","0.6","60","3","4"
"144","300","0","0.2","3","0.25","0.6","0.6","60","3","3"
"138","300","0","0.2","3","0.25","0.6","0.5","60","6","6"
"100","300","0","0.2","3","0.25","0.6","0.1","60","73","26"
"135","300","0","0.2","3","0.25","0.6","0.5","60","8","5"
"148","300","0","0.2","3","0.25","0.6","0.6","60","2","3"
"143","300","0","0.2","3","0.25","0.6","0.6","60","4","3"
"151","300","0","0.2","3","0.25","0.6","0.7","60","1","4"
"147","300","0","0.2","3","0.25","0.6","0.6","60","4","3"
"153","300","0","0.2","3","0.25","0.6","0.7","60","1","4"
"149","300","0","0.2","3","0.25","0.6","0.6","60","2","3"
"155","300","0","0.2","3","0.25","0.6","0.7","60","2","3"
"152","300","0","0.2","3","0.25","0.6","0.7","60","3","4"
"158","300","0","0.2","3","0.25","0.6","0.7","60","2","3"
"150","300","0","0.2","3","0.25","0.6","0.6","60","2","5"
"156","300","0","0.2","3","0.25","0.6","0.7","60","2","3"
"140","300","0","0.2","3","0.25","0.6","0.5","60","6","4"
"154","300","0","0.2","3","0.25","0.6","0.7","60","3","5"
"161","300","0","0.2","3","0.25","0.6","0.8","60","1","3"
"167","300","0","0.2","3","0.25","0.6","0.8","60","1","3"
"162","300","0","0.2","3","0.25","0.6","0.8","60","2","4"
"168","300","0","0.2","3","0.25","0.6","0.8","60","1","4"
"164","300","0","0.2","3","0.25","0.6","0.8","60","1","4"
"160","300","0","0.2","3","0.25","0.6","0.7","60","3","4"
"166","300","0","0.2","3","0.25","0.6","0.8","60","1","3"
"173","300","0","0.2","3","0.25","0.6","0.9","60","1","4"
"169","300","0","0.2","3","0.25","0.6","0.8","60","2","3"
"171","300","0","0.2","3","0.25","0.6","0.9","60","2","3"
"163","300","0","0.2","3","0.25","0.6","0.8","60","2","3"
"170","300","0","0.2","3","0.25","0.6","0.8","60","2","4"
"172","300","0","0.2","3","0.25","0.6","0.9","60","2","4"
"174","300","0","0.2","3","0.25","0.6","0.9","60","1","3"
"157","300","0","0.2","3","0.25","0.6","0.7","60","2","4"
"176","300","0","0.2","3","0.25","0.6","0.9","60","1","3"
"175","300","0","0.2","3","0.25","0.6","0.9","60","1","3"
"179","300","0","0.2","3","0.25","0.6","0.9","60","1","3"
"178","300","0","0.2","3","0.25","0.6","0.9","60","1","5"
"165","300","0","0.2","3","0.25","0.6","0.8","60","2","3"
"159","300","0","0.2","3","0.25","0.6","0.7","60","7","3"
"180","300","0","0.2","3","0.25","0.6","0.9","60","1","3"
"177","300","0","0.2","3","0.25","0.6","0.9","60","1","3"
"190","300","0","0.2","3","0.4","0.6","0.1","60","5","3"
"182","300","0","0.2","3","0.4","0.6","0.1","60","7","4"
"191","300","0","0.2","3","0.4","0.6","0.2","60","6","4"
"192","300","0","0.2","3","0.4","0.6","0.2","60","10","5"
"186","300","0","0.2","3","0.4","0.6","0.1","60","16","4"
"188","300","0","0.2","3","0.4","0.6","0.1","60","17","6"
"194","300","0","0.2","3","0.4","0.6","0.2","60","4","3"
"92","300","0","0.2","3","0.25","0.6","0.1","60","151","110"
"189","300","0","0.2","3","0.4","0.6","0.1","60","20","7"
"196","300","0","0.2","3","0.4","0.6","0.2","60","6","6"
"198","300","0","0.2","3","0.4","0.6","0.2","60","5","4"
"187","300","0","0.2","3","0.4","0.6","0.1","60","30","16"
"193","300","0","0.2","3","0.4","0.6","0.2","60","18","11"
"200","300","0","0.2","3","0.4","0.6","0.2","60","6","3"
"204","300","0","0.2","3","0.4","0.6","0.3","60","3","4"
